Active;x1;pmv1;x2;pmv2;x3;pmv3;x4;pmv4;x5;pmv5;LUMO;HOMO;GapHL;Dipole_Moment;ASA;a_aro;a_count;a_heavy;balabanJ;chi0;KierFlex;lip_acc;lip_don;logS;mr;rings;vdw_area;vdw_vol;Weight;weinerPath;weinerPol;zagreb;apol;bpol;McGowan_Volume;PetitjeanNumber;CPCM1;CPCM2;CPCM3;CPCM4;CPCM5;SMD1;SMD2;SMD3;SMD4;SMD5;mol
1;104,431282;536,513;104,843643;1133,62683;476,542114;504,20401;-5,69830799;550,41095;73,6442642;537,918213;-0,0261;-0,33633;-8,441854668;3,3828;673,96747;12;50;27;1,2916201;19,225405;5,6176133;3;0;-5,1087499;10,8042;3;374,02448;513,59827;387,88199;2326;39;136;59,497239;30,662761;2,8959;0,5;-268,2264272;-265,8617747;-265,908083;-269,2020752;-270,0054912;-278,6875501;-275,6880703;-275,2514071;-276,4964437;-270,7728205;Clc1ccc(C(=O)C2CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1
1;118,153618;615,8349;116,074814;1278,10107;548,571716;581,759155;-7,82562065;612,569153;79,4452667;613,277344;-0,01475;-0,29183;-7,539790128;2,4283;761,56335;12;58;30;1,2318476;20,924074;6,5243406;4;1;-4,8611202;12,660127;4;437,12939;594,91064;442,02701;2837;47;156;70,092204;38,887796;3,3558;0,5;-317,0817421;-313,5209638;-313,590354;-318,5612955;-319,7841356;-329,794687;-324,1118396;-323,6331952;-328,5147201;-323,7785347;Clc1cc2/C(=C/CCN3CCN(CCC(=O)NC)CC3)/c3c(Sc2cc1)cccc3
1;89,2195663;456,761505;89,8269119;950,681519;405,917694;429,864166;-4,08321381;473,178619;62,0752792;455,193634;-0,01908;-0,31126;-7,950685288;3,1831;561,70258;12;42;23;1,543957;15,811191;3,0773826;4;1;-4,0994902;9,2331457;4;320,60721;440,12747;326,83099;1082;41;126;50,929067;27,130933;2,431;0,5;-228,061626;-225,8014045;-225,8456342;-228,9962724;-229,7674799;-238,8059092;-234,5908812;-234,2470533;-236,1740609;-231,7464107;Clc1cc2N=C(N3CCN(C)CC3)c3c(Nc2cc1)cccc3
1;105,322929;534,805176;99,7473373;1070,81018;477,042969;511,096832;-4,39771748;531,348633;76,0384598;537,222229;-0,02755;-0,38343;-9,684064208;5,8149;571,49567;0;57;30;1,8414766;22,491199;3,959796;5;3;-3,6870999;10,164743;4;379,83084;521,30127;428,44699;1952;76;182;62,404411;35,041589;2,9486;0,5;-307,9803889;-305,2406228;-305,2945625;-309,1018775;-310,0213003;-313,2971396;-310,2054653;-309,7962865;-314,8937503;-312,4438954;F[C@]12[C@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@H](C)C[C@H]3[C@@H]1CC(F)(F)C=1[C@]2(C)C=CC(=O)C=1
1;74,874115;377,335602;79,3295364;796,909485;331,050995;348,885437;-1,26127017;432,103882;51,7821198;378,913818;0,01407;-0,35198;-9,96080618;5,2208;477,66904;0;38;16;4,6236124;12,715178;4,9035344;4;0;-1,40652;6,5804844;0;299,1412;339,30795;226,31999;441;23;68;39,593446;29,926554;1,9874;0,5;-216,8927388;-214,3502318;-214,3987114;-217,9831386;-218,9000052;-220,3815061;-218,0203613;-217,7095738;-220,888188;-218,596278;O=C(N(C)C)[C@@H](N(C(=O)/C=C/C)CC)CC
1;102,63974;529,794678;101,386658;1102,76782;469,262787;497,342102;-5,69971609;537,007263;71,3368073;526,41925;0,00739;-0,32688;-9,096021532;3,4647;670,19464;12;51;27;1,3821403;18,951536;4,9091663;6;2;-5,27075;10,418451;3;382,54666;506,065;368,43298;2179;34;134;58,371032;33,304968;2,8321;0,5;-277,8693556;-275,495996;-275,5422818;-278,85561;-279,6715247;-286,9541213;-283,8952867;-283,4673648;-284,8179416;-280,4914131;O=C(OCC1(COC(=O)Nc2ccccc2)CCCC1)Nc1ccccc1
1;63,4138374;334,895782;61,9370804;707,053223;296,580017;314,881439;-4,92863083;328,715363;44,0133705;334,758881;0,01015;-0,29919;-8,417636344;1,8305;448,51633;9;34;16;1,7156916;11,120955;1,8104661;2;1;-2,14626;6,633297;3;223,83054;324,79953;214,312;408;25;88;38,842274;22,317726;1,783;0,5;-193,326564;-191,6798077;-191,7120135;-194,0072566;-194,5682959;-201,3795686;-198,0884638;-197,8221734;-199,4257833;-195,3184338;N(C)(C)[C@@H]1Cc2c3c([nH]c2CC1)cccc3
1;66,9396362;337,133545;68,685379;713,087341;297,00473;313,414642;-1,72736537;371,626282;47,4440804;337,793732;-0,00645;-0,36417;-9,734133552;1,9717;426,52515;0;33;17;2,2152295;12,466255;2,3129306;5;2;-3,0866899;6,2711873;2;237,98526;309,46304;236,271;458;31;88;36,394688;21,685312;1,7859;0,5;-180,4196162;-178,6237817;-178,6593032;-181,1488251;-181,7435333;-185,2580812;-183,9178476;-183,6448573;-185,3696681;-184,0849835;O=C1C(CC)(C(=O)NC(=O)N1)C1=CCCCC1
1;65,7872086;344,831726;65,0600128;723,102966;306,819458;325,004211;-4,43489456;344,657867;43,2150841;344,633667;0,00373;-0,33884;-9,321877812;3,4799;441,60107;12;33;18;1,8621706;12,53517;1,8523139;2;2;-4,1867299;7,2732096;3;230,13164;343,51462;237,302;521;33;96;40,063895;16,696105;1,8947;0,428571429;-182,2658207;-179,8173831;-179,8648714;-183,2893686;-184,1376063;-188,9732826;-185,6289146;-185,3673879;-188,57289;-186,1579683;O=C(N)C1c2c(cccc2)CCc2c1cccc2
1;81,3555298;419,603851;78,3037872;872,155701;373,86731;396,318878;-4,66573286;421,774963;57,1023178;420,44873;0,01344;-0,3302;-9,350994224;0,5578;530,27106;12;42;20;1,5990437;13,786246;3,0599852;2;1;-3,50492;8,4014835;3;289,91171;410,71283;266,388;812;28;102;48,549446;26,690554;2,2606;0,5;-237,6676742;-236,0726824;-236,1043732;-238,311261;-238,834475;-247,4869922;-243,9932073;-243,6588815;-244,7315192;-239,5633113;C(c1c(N2CCNCC2)cc(C)cc1)c1ccccc1
1;72,6735306;371,911285;76,9289856;786,596863;326,839386;343,925232;-2,80199313;404,702423;47,9780884;366,803253;-0,03254;-0,31849;-7,78115702;4,5746;473,02676;12;33;20;1,8210725;14,112519;2,8279471;4;2;-3,7818899;7,7985888;3;258,04117;354,60876;288,73398;719;35;106;41,052309;16,909691;2,0347;0,5;-144,493674;-142,3070265;-142,3495465;-145,405208;-146,1599649;-151,4653001;-149,2301955;-148,9442346;-149,4808937;-146,4050654;Clc1cc2[C@@H](N(O)CC(=O)Nc2cc1)c1ccccc1
1;109,245872;561,405457;100,990189;1116,76282;504,16391;541,080017;-5,98672199;534,600586;78,8589172;563,769592;-0,02038;-0,37129;-9,548822556;6,9104;595,51947;0;62;30;1,5421839;21,689871;3,8761356;6;2;-4,5021701;10,900918;5;387,84232;559,63739;416,51398;2048;69;184;68,389376;40,730624;3,1274;0,5;-347,6236799;-344,6333616;-344,6910511;-348,8864685;-349,9405553;-353,4929177;-350,8152119;-350,3901613;-355,3161689;-353,8482409;O=C(CO)[C@@]12[C@]3(C)[C@@H]([C@@H]4[C@@H]([C@H](O)C3)[C@]3(C)C(=CC(=O)C=C3)CC4)C[C@@H]1OC(C)(C)O2
